size,active_indices,spoke_counts,lambda_min,log_product,converged,n_evaluations,elapsed_sec,failed,error
9,0 1 2 3 4 5 6 8 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.006361247098033499,-16.886404086061745,False,81977,230.32,False,
9,0 1 2 3 4 5 6 7 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.0030099177557373975,-18.89098593577652,False,81958,230.61,False,
9,0 1 2 3 4 5 6 7 8,"O-M:3,O-B:3,O-N:3,O-A:0",0.004194934128028958,-18.005020469000964,False,81958,232.24,False,
9,0 1 2 3 4 5 6 8 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.005981329310737353,-17.01297240282676,False,83041,235.23,False,
9,0 1 2 3 4 5 6 7 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.0034596447131641102,-21.688986545471657,False,84846,241.82,False,
9,0 1 2 3 4 5 6 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.004752129805963056,-21.238549470678684,False,81977,251.68,False,
9,0 1 2 3 4 5 6 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.0007419136177770313,-19.63261533528442,False,82642,254.87,False,
9,0 1 2 3 4 5 7 8 10,"O-M:3,O-B:3,O-N:2,O-A:1",0.005951156116144452,-16.17702851342457,False,81977,249.85,False,
9,0 1 2 3 4 5 7 8 11,"O-M:3,O-B:3,O-N:2,O-A:1",0.006023993661230245,-17.54039457533324,False,82300,234.55,False,
9,0 1 2 3 4 5 6 7 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.0014794351866356842,-22.875377185793443,False,81977,722.46,False,
9,0 1 2 3 4 5 8 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.0031122465344558636,-17.511015839748836,False,81977,234.74,False,
9,0 1 2 3 4 5 7 9 10,"O-M:3,O-B:3,O-N:1,O-A:2",0.002545399607874749,-16.289548826909897,False,82680,710.48,False,
9,0 1 2 3 4 5 6 8 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.0038691786111663493,-26.144950871314546,False,84941,1210.32,False,
9,0 1 2 3 4 5 6 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",,,False,,1209.83,True,"optimize_theta() failed to converge in 5 attempt(s) (seeds 50, 1050, ...): No stage-2 candidate reached the stage-1 optimum (best_lambda_min=0.00190958, threshold=0.00190958, n_solutions=1). Try increasing maxiter or n_solutions."
9,0 1 2 3 4 5 9 10 11,"O-M:3,O-B:3,O-N:0,O-A:3",0.004723220651198736,-16.614542069169424,False,81958,235.50,False,
9,0 1 2 3 4 5 7 8 9,"O-M:3,O-B:3,O-N:2,O-A:1",0.006279775000295841,-18.98563535823797,False,84276,1230.27,False,
9,0 1 2 3 4 5 8 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.004827080686216813,-21.70111777056058,False,81977,706.24,False,
9,0 1 2 3 4 6 7 8 9,"O-M:3,O-B:2,O-N:3,O-A:1",0.002700125264078961,-19.32391560692153,False,81977,234.46,False,
9,0 1 2 3 4 5 7 9 11,"O-M:3,O-B:3,O-N:1,O-A:2",,,False,,1205.64,True,"optimize_theta() failed to converge in 5 attempt(s) (seeds 56, 1056, ...): No stage-2 candidate reached the stage-1 optimum (best_lambda_min=0.00330699, threshold=0.00330699, n_solutions=1). Try increasing maxiter or n_solutions."
9,0 1 2 3 4 6 7 8 11,"O-M:3,O-B:2,O-N:3,O-A:1",0.006417254423514726,-18.20782565105096,False,81958,235.45,False,
9,0 1 2 3 4 5 7 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",,,False,,1183.62,True,"optimize_theta() failed to converge in 5 attempt(s) (seeds 57, 1057, ...): No stage-2 candidate reached the stage-1 optimum (best_lambda_min=0.00452116, threshold=0.00452115, n_solutions=1). Try increasing maxiter or n_solutions."
9,0 1 2 3 4 6 7 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.001336658713307725,-20.21010679132723,False,81958,233.79,False,
9,0 1 2 3 4 5 8 10 11,"O-M:3,O-B:3,O-N:1,O-A:2",0.003469625942406706,-24.38519794837383,False,83896,714.68,False,
9,0 1 2 3 4 6 7 8 10,"O-M:3,O-B:2,O-N:3,O-A:1",0.006356232858745866,-18.197404024225417,False,81958,467.16,False,
9,0 1 2 3 4 6 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.004038420725381288,-15.34450035423373,False,81958,234.30,False,
9,0 1 2 3 4 6 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.0007418071458970491,-19.542465212079176,False,82718,241.66,False,
9,0 1 2 3 4 6 8 9 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.006792949418936729,-17.61278489175523,False,82623,493.32,False,
9,0 1 2 3 4 6 8 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.004192293869602945,-18.41928929260474,False,84371,502.78,False,
9,0 1 2 3 4 6 7 10 11,"O-M:3,O-B:2,O-N:2,O-A:2",0.002837387035944704,-18.74561012202486,False,84561,742.21,False,
9,0 1 2 3 4 7 9 10 11,"O-M:3,O-B:2,O-N:1,O-A:3",0.0025455800136836722,-16.368720265248466,False,81958,254.00,False,
9,0 1 2 3 4 7 8 9 10,"O-M:3,O-B:2,O-N:2,O-A:2",0.006115836767254431,-16.532435385960355,False,81958,747.17,False,
9,0 1 2 3 5 6 7 8 9,"O-M:3,O-B:2,O-N:3,O-A:1",0.0034807804937614394,-24.33187062988788,False,83839,255.27,False,
